2016-04-17 20:00:06,141.212.122.81,United States,Ann Arbor
2016-04-18 03:07:12,108.9.139.156,United States,Hudson
2016-04-18 03:07:13,108.9.139.156,United States,Hudson
2016-04-18 03:07:13,52.31.166.88,Ireland,Dublin
2016-04-18 09:21:46,92.255.251.42,Russia,Bibayevo
2016-04-18 12:58:03,199.19.249.196,United States,Sunnyvale
2016-04-18 12:58:03,52.31.166.88,Ireland,Dublin
2016-04-18 12:58:12,199.19.249.196,United States,Sunnyvale
2016-04-18 12:58:12,199.19.249.196,United States,Sunnyvale
2016-04-18 12:58:12,199.19.249.196,United States,Sunnyvale
2016-04-18 12:58:13,199.19.249.196,United States,Sunnyvale
2016-04-18 12:58:13,199.19.249.196,United States,Sunnyvale
2016-04-18 15:00:01,52.31.166.88,Ireland,Dublin
2016-04-18 15:00:01,74.91.18.44,United States,Kansas City
2016-04-18 16:37:30,74.91.23.108,United States,Kansas City
2016-04-18 17:18:51,69.30.226.222,United States,Kansas City
